Date,Open,High,Low,Close,Volume,Open Interest
8/30/2018 0:00,987.62,998.07,983.43,998.07,1.56E+08,83801
8/31/2018 0:00,998.55,1003.06,989.54,989.54,1.63E+08,92089
9/4/2018 0:00,990.79,992.18,975.94,975.94,1.72E+08,97412
9/5/2018 0:00,975.05,978.78,964.8,968.44,1.61E+08,94432
9/6/2018 0:00,968.37,970.84,957.99,958.19,1.42E+08,81275
9/7/2018 0:00,955.5,969.34,955.5,968.9,1.53E+08,80052
9/10/2018 0:00,969.74,974.59,968.19,970.34,1.50E+08,78565
9/11/2018 0:00,968.41,985.06,967.92,985.06,1.59E+08,86940
9/12/2018 0:00,990,994.83,987.01,987.01,1.71E+08,94181
9/13/2018 0:00,987.48,992.96,984.92,987.95,1.49E+08,82697
9/14/2018 0:00,990,995.55,989.56,991.34,1.50E+08,85759
9/17/2018 0:00,990.65,993.83,987.02,987.61,1.47E+08,86432
9/18/2018 0:00,983.43,993.49,981.89,993.49,1.71E+08,93411
9/19/2018 0:00,998.65,1001.83,994.5,995.54,2.06E+08,104043
9/20/2018 0:00,996.48,1004.74,996.48,1004.74,1.79E+08,98354
9/21/2018 0:00,1006.25,1009.1,1000.39,1002.97,2.73E+08,127131
9/24/2018 0:00,1007.52,1011.29,1007.45,1011.29,1.69E+08,91669
9/25/2018 0:00,1011.94,1014.53,1008.67,1010.74,1.98E+08,99281
9/26/2018 0:00,1008.93,1014.86,1007.44,1009.61,2.20E+08,113892
9/27/2018 0:00,1012.57,1017.78,1010.49,1015.37,1.81E+08,102469
9/28/2018 0:00,1019.34,1020.84,1015.4,1017.13,2.25E+08,120339
10/1/2018 0:00,1019.49,1023.87,1012.88,1012.88,2.25E+08,115833
10/2/2018 0:00,1014.26,1021.51,1013.11,1018.79,2.04E+08,108833
10/3/2018 0:00,1021.08,1024.59,1016.47,1020.4,1.60E+08,87528
10/4/2018 0:00,1024.68,1024.68,1020.4,1023.62,1.85E+08,92617
10/5/2018 0:00,1020.21,1020.77,1008.39,1008.39,2.07E+08,103974
10/8/2018 0:00,1003.31,1006.13,996.12,996.12,1.86E+08,100520
10/9/2018 0:00,998.7,1001.87,996.19,996.19,1.79E+08,90230
10/10/2018 0:00,998.66,999.62,991.22,993.96,1.72E+08,92510
10/11/2018 0:00,972.21,972.21,938.83,945.89,3.44E+08,159641
10/12/2018 0:00,939.2,970.08,933.35,970.08,2.04E+08,109091
10/15/2018 0:00,968.8,969.36,951.64,951.64,1.23E+08,72106
10/16/2018 0:00,950.36,963.69,950.36,963.37,1.18E+08,68508
10/17/2018 0:00,973.14,975.27,969.06,971.6,1.38E+08,73976
10/18/2018 0:00,968.93,970.75,962.68,963.47,1.26E+08,70812
10/19/2018 0:00,949.94,959.63,945.83,958.36,1.32E+08,72149
10/22/2018 0:00,960.63,963.79,953.51,953.51,1.33E+08,75042
10/23/2018 0:00,950.12,950.42,925.29,939.68,1.82E+08,102847
10/24/2018 0:00,935.25,939.06,922.73,922.73,1.32E+08,79002
10/25/2018 0:00,902.59,912.07,885.34,910.17,1.64E+08,90144
10/26/2018 0:00,918.11,918.16,900.82,900.82,1.34E+08,74297
10/29/2018 0:00,895.05,897.84,884.92,888.82,1.13E+08,65846
10/30/2018 0:00,881.32,894.8,880.85,888.69,1.20E+08,73858
10/31/2018 0:00,894.23,914.76,894.23,914.76,1.59E+08,84715
11/1/2018 0:00,915.52,918.84,905.73,907.96,1.22E+08,75484
11/2/2018 0:00,911.35,927.62,910.4,924.86,2.09E+08,86165
11/5/2018 0:00,920.87,925.53,915.77,925.53,1.21E+08,67784
11/6/2018 0:00,931,931.27,921.93,922.05,1.20E+08,72703
11/7/2018 0:00,922.03,924.6,915.41,922.16,1.27E+08,73828
11/8/2018 0:00,928.69,932.86,925.54,926.28,1.38E+08,72191
11/9/2018 0:00,921.11,925.31,914.29,914.29,1.31E+08,75348
11/12/2018 0:00,909.36,918.99,903.95,918.12,1.10E+08,61873
11/13/2018 0:00,904.35,910.2,903.48,905.38,1.33E+08,74302
11/14/2018 0:00,904.16,910.58,898.83,900.93,1.25E+08,82009
11/15/2018 0:00,901.13,903.83,892.5,897.15,1.35E+08,75587
11/16/2018 0:00,901.44,903.21,894.14,898.19,1.42E+08,71018
11/19/2018 0:00,902.65,916.06,900.61,916.06,1.24E+08,68765
11/20/2018 0:00,909.76,919.02,909.76,919.02,1.26E+08,74499
11/21/2018 0:00,909.83,922.56,907.47,922.56,1.19E+08,74584
11/22/2018 0:00,924.93,926.15,922.02,924.42,1.14E+08,68315
11/23/2018 0:00,923.91,925.84,916.87,917.97,1.12E+08,63444
11/26/2018 0:00,915.67,921.96,914.43,921.03,9.05E+07,58810
11/27/2018 0:00,925.12,930.37,921.26,923.12,1.09E+08,69294
11/28/2018 0:00,922.29,930.2,922.03,930.2,9.68E+07,61157
11/29/2018 0:00,934.88,937.75,926.79,926.79,1.17E+08,73176
11/30/2018 0:00,924.49,928.92,921.08,926.54,1.29E+08,72709
12/3/2018 0:00,937.7,951.59,937.1,951.59,1.57E+08,92951
12/4/2018 0:00,952.97,960.44,950.89,958.84,1.77E+08,85388
12/5/2018 0:00,950.34,960.87,946.97,957.14,1.54E+08,85287
12/6/2018 0:00,954.61,959.59,948.44,954.82,1.45E+08,76264
12/7/2018 0:00,956.49,962.39,955.96,958.59,1.52E+08,78010
12/10/2018 0:00,955.06,958.25,951.5,955.89,1.29E+08,71233
12/11/2018 0:00,955.93,957.97,949.34,954.58,1.27E+08,66996
12/12/2018 0:00,956.32,961.28,956,961.28,1.44E+08,69391
12/13/2018 0:00,963.65,966.83,960.1,960.25,1.46E+08,73525
12/14/2018 0:00,958.78,960.09,951.04,952.04,1.31E+08,71293
12/17/2018 0:00,948.09,948.09,933.65,933.65,1.43E+08,78595
12/18/2018 0:00,921.48,928.2,917.03,927.25,1.56E+08,84843
12/19/2018 0:00,926.35,927.03,914.55,919.24,1.19E+08,69577
12/20/2018 0:00,915.5,921.79,914.18,918.24,1.08E+08,60630
12/21/2018 0:00,911.57,915.02,907.88,912.26,1.31E+08,62175
12/24/2018 0:00,910.86,916.41,908.56,908.56,1.09E+08,60272
12/25/2018 0:00,893.71,897.94,882.17,897.94,1.68E+08,86357
12/26/2018 0:00,896.63,899.49,890.86,891.75,1.04E+08,58888
12/27/2018 0:00,904.8,906.63,900.81,900.81,1.13E+08,61521
12/28/2018 0:00,903.79,903.79,892.54,892.54,1.24E+08,59750
1/2/2019 0:00,900.1,900.1,891.1,891.75,9.19E+07,55956
1/3/2019 0:00,889.78,892.21,872.12,878.22,1.35E+08,76529
1/4/2019 0:00,872.69,881.48,861.85,880.9,1.18E+08,66665
1/7/2019 0:00,890.47,896.63,885.3,889.64,8.74E+07,56679
1/8/2019 0:00,891.37,891.87,883.67,887.44,9.21E+07,54860
